"se_MLE_beta1" "se_MLE_beta2" "se_MLE_gama1" "se_MLE_lambda1"
0.0258156399663545 0.0473010815028087 0.0596893460190277 0.15178429861508
0.0302144407024241 0.0511909091187514 0.0602139586937116 0.153146325865649
0.0297830567883571 0.0496221778130371 0.0617343837529509 0.155475742499947
0.0291814763805599 0.050599880736667 0.0631973918969638 0.162791038776445
0.0308740192977037 0.0535148183611493 0.0606857737249803 0.151352116866251
0.0280506264053234 0.049880061811337 0.0616974900422124 0.155683021237705
0.0257331033656364 0.0472916433066956 0.0601226829957161 0.154212355492896
0.0286184912431376 0.0508553144934294 0.0607379211442705 0.150464440949123
0.0280808239610081 0.0489155051955395 0.0642033147888176 0.16544746996234
0.0262771116064989 0.0485742890593959 0.0592665770821574 0.148412434287725
0.0282987550547045 0.051492294558805 0.0620855951737204 0.157686916417151
0.0280233540211329 0.049468858093516 0.062445454006721 0.156883874230626
0.0293665978370231 0.0510125000563812 0.0620523256948214 0.158821335356883
0.0279232528724763 0.0490982325548512 0.0613792919792254 0.154729699949514
0.0285927135796746 0.0496397329549011 0.0587565873132978 0.144277143360441
0.0265826892146495 0.0451413393070194 0.0629129355471405 0.160721787787318
0.0296944716724031 0.0492863633108983 0.063093566351498 0.162445995043385
0.0282099270142798 0.0523559717084069 0.0595262616519692 0.146792428687662
0.0310144780270943 0.0538387410166596 0.0618727096447575 0.155786638076982
0.0313350678257349 0.054193052067104 0.0608896512556069 0.153848503776091
0.0290606675823385 0.0511846767400521 0.0623019258776789 0.159036416494124
0.026757552762408 0.04598728833694 0.059903222672755 0.148323886742397
0.0288595977334319 0.0491886744589398 0.062226132195094 0.155480552583323
0.0281228542948734 0.0494781076560907 0.0636544858588255 0.161443227907459
0.0278219938377929 0.0466750247899069 0.0610958133305312 0.151615756556874
0.028099900603287 0.0515544001090864 0.060050018469856 0.152043213125231
0.0263883369174553 0.0488904126282057 0.0610928644211737 0.160731395599868
0.029091333143229 0.0522501556903736 0.0603619439446673 0.151747408291117
0.0277660631481427 0.0492981907633228 0.0623456682503737 0.159935090187636
0.0280826204637581 0.0504681217439457 0.061725158916139 0.158964128447005
0.0262385512465852 0.0477846742296811 0.0627191482429865 0.161513368121101
0.0260287759549897 0.0487867329424377 0.0620930335508187 0.159986881326419
0.0285739600613433 0.0500460955944574 0.0585217240824574 0.14219225461539
0.0275667090353857 0.0479627665456095 0.0647111982604052 0.165995011284455
0.0293708182514891 0.0524276498553874 0.060563455621976 0.148799943576181
0.0296569544316606 0.0501455948577189 0.0613967454429401 0.150448301973309
0.0287228892787441 0.0497174636935106 0.0600033679242534 0.14681984676398
0.0306884157570188 0.0527189216147469 0.0610979004284788 0.154338390005827
0.0304331640000431 0.0537549933103921 0.0655342000722593 0.172238120971737
0.0266191483394013 0.0490235787933406 0.059249089362376 0.150499107432444
0.029182096768096 0.0498815152655631 0.0598467640051209 0.149261245010362
0.0285146102299289 0.0504779015381217 0.0608188405514217 0.152595251341062
0.0252491326868481 0.0469859379215001 0.0642766101291848 0.170559600699031
0.0299306981513352 0.0505193848872279 0.060450010598622 0.151233154464885
0.0296962563446256 0.0519823886144169 0.0609122981889304 0.152093240952707
0.0276297381220856 0.0497844539702635 0.0616712086297439 0.155577980576459
0.0285389866318923 0.0483110046235973 0.0604973397451135 0.151982860654642
0.0282321799390347 0.0507309435394154 0.0588114305826318 0.143554071046704
0.030330756926782 0.051774966715974 0.0600670562520845 0.1470267791692
0.0266934864274718 0.0492997162175588 0.0596975027110097 0.15148602478675
0.0270647248060511 0.0482760192599232 0.063025417266325 0.161913185159984
0.0246573979670464 0.0459873883194924 0.0605741970301565 0.155664906463767
0.0280678161840978 0.0490320121326657 0.0599938100748808 0.145996628087854
0.0260005851333204 0.0483072941976877 0.0641996642084773 0.171709106734112
0.0292442290084969 0.052650606879768 0.0609191241663786 0.149756442707669
