"MLE_beta1" "MLE_beta2" "MLE_gama1" "MLE_lambda1"
2.66096840659348 -3.10358281155242 -1.38528316923844 -1.34173296926181
2.71270059605287 -3.19840569049321 -1.30840878577835 -1.59578172095467
2.68835720391418 -3.13374913617584 -1.20582953045201 -2.33803271802145
2.68030379315308 -3.03700617592504 -1.46246430555913 -1.00024163670146
2.68641980422506 -2.96251910720763 -1.36372675553971 -0.814565962803068
2.67600558073869 -3.03876457080911 -1.51894595266255 -0.507561742285576
2.70401399010277 -3.1324503172305 -1.28763668881861 -1.56532183016745
2.67105776442048 -3.02532848883141 -1.21624137744652 -1.83983165633914
2.72097593978407 -3.12169501603602 -1.54458370262915 -0.926641631202985
2.70698542757597 -3.07215230304515 -1.16535848087541 -1.58381446302422
2.7337375948039 -3.12241048703652 -1.10735025853271 -3.19391648328079
2.70108887475546 -3.12636054576503 -1.22408158111975 -1.2883947357846
2.72816991760741 -3.11194698997192 -1.25031071827353 -1.36385899024063
2.7154887951207 -3.20923293070165 -1.34579812406425 -1.12992775683159
2.67925339579554 -2.99956649099517 -1.16761306081145 -1.6702184173973
2.72373555719406 -3.14619405793915 -1.65974072531376 -0.978304493747101
2.70085250628047 -3.21051298329279 -1.21925455423059 -1.30889652925173
2.73929216896599 -3.15976425181637 -1.21729689241903 -3.68750567054981
2.64290825843888 -3.08084396347909 -1.36371752138556 -1.27911487932295
2.67338527159985 -3.03774260045171 -1.09762602174965 -1.88981185568323
2.70667167355846 -3.22180336811081 -1.42877166095178 -0.791998569502973
2.68471928151518 -3.11163340684485 -1.43248305868729 -1.14368353188921
2.6820756163765 -3.0499155212821 -1.10573295343293 -2.09107535429482
2.67067959969387 -3.12417201097462 -1.22325880641703 -1.73521475369906
2.78018151164142 -3.20083078931585 -1.28156998995964 -1.40199441488298
2.67875332312217 -3.09374950115786 -1.29102954085708 -1.26723675521005
2.72727746886784 -3.1182393129271 -1.27744332723302 -1.5094114795575
2.72820329235771 -3.09357841851508 -1.32238002881933 -1.34476810600584
