"se_MLE_beta1" "se_MLE_beta2" "se_MLE_gama1" "se_MLE_gama2" "se_MLE_lambda1"
0.0756081306494588 0.193175169840507 0.104177265760333 0.187467597185796 0.196943566643695
0.0746284161317465 0.227053854558821 0.107044108709932 0.193909628876343 0.201585423529237
0.0718328608058398 0.214030567511893 0.105671737242778 0.187505404682737 0.194852764787208
0.0767702521845885 0.20131482604301 0.117959500741944 0.217905663464567 0.21590245407767
0.0857958136566575 0.208873950623216 0.10965756097612 0.197193208049572 0.207672325777652
0.073315878387901 0.220402142026142 0.108129467117213 0.199532490193648 0.191393479486407
0.0712090553778401 0.235535136572165 0.120159004690077 0.229432995453842 0.213802526610818
0.064160168646642 0.217741841837851 0.106110658075162 0.193377407976413 0.202346776345465
0.0685142349997544 0.218359940988085 0.103454946142136 0.188627269935533 0.190763273844272
0.0732618092274567 0.214391810090078 0.101812051312456 0.178373542810348 0.19469925499676
0.0846604375432194 0.21924051471423 0.104617757853474 0.192698243932638 0.188067856434836
0.0728324819722283 0.200221783568272 0.100647162485385 0.179912914977958 0.219256922709475
0.0815196393773477 0.225736105588946 0.109159759649221 0.190514501988744 0.186060801390979
0.0808584347862004 0.223462967868961 0.110456337331411 0.199254574870327 0.206317752491649
0.0735989081601882 0.205292256272992 0.110416808541479 0.198322553856792 0.2001371687534
0.0797044944166534 0.221472613124533 0.106848862192182 0.18724117743471 0.201550505052868
0.0819065396290258 0.21036092502355 0.107029690319204 0.189269271295752 0.209464607706124
0.0711851264963799 0.232613626390148 0.113689350182026 0.20994654042177 0.200357361180922
0.0829976809052057 0.226043942059488 0.103650072679454 0.187599077956407 0.203154793540945
0.0782775817452188 0.230809177213456 0.11237225591988 0.206347130872381 0.213853426692705
0.0666484750336954 0.201690427653517 0.105901705150869 0.192948140855008 0.187857788057284
0.0837030430111843 0.220982881317548 0.106316159288027 0.190403841588337 0.215279630075123
0.0907789669001827 0.221533765561767 0.109369741265284 0.196002491362226 0.204410071243599
0.078783109495108 0.217425382871981 0.108024373164752 0.187135513188414 0.208051047662833
0.0710321942813427 0.197880791771181 0.105004778201889 0.1861825528067 0.207855585298692
0.0704025495385713 0.208446199921351 0.103491368967982 0.183721204972225 0.223265091405432
0.0711146910005833 0.180777402294927 0.110151664493205 0.20203368686823 0.226985127434042
0.0785247062235416 0.203372689462289 0.106625272373046 0.182073453158712 0.201747184842438
0.078833258687121 0.223981755779627 0.102235647579156 0.184977317868321 0.189539513768418
0.0744746614620928 0.197667746376203 0.101720284646498 0.184180264879989 0.21596554943153
0.0724554583010385 0.203320629356826 0.103919951261897 0.18419615878071 0.198949670524146
0.0762233610245989 0.196775200485737 0.10446693755505 0.186883671403164 0.212245787535938
0.0772929448691325 0.207736219681911 0.101946078252952 0.177110301791735 0.203823989256797
0.0757420991838069 0.21640211726198 0.108463869881784 0.20015855464957 0.207215712690365
0.0868091238629267 0.237995250067516 0.103907803785845 0.187805003557877 0.179762774994705
0.0721185364934052 0.214691131685772 0.106976832419761 0.206491955177987 0.207271127412472
0.0745078788012868 0.218836695052589 0.106302857905434 0.198766942258514 0.206053664990066
0.0801185306326797 0.194512559505434 0.106398583587991 0.19303571111561 0.231165031125807
0.0818557745472311 0.2222913313519 0.105423707291619 0.185585217762362 0.194175011632382
0.085392252705952 0.204586592400897 0.105878322483704 0.188866456575915 0.221422457562288
